"INITCAP(REGEXP_REPLACE(GRAPH, '_', ' '))",NODE_DISTANCE,"INITCAP(REGEXP_REPLACE(STARTING_NODE, '_', ' '))","INITCAP(REGEXP_REPLACE(ENDING_NODE, '_', ' '))",ARRAY_AGG(INITCAP(IEVENT)),ROUND(AVG(INTENSITY))
Jp Morgan Chase And Co,3,Momenta Pharmaceuticals Inc,Argenx Se,"[
  ""Clinical Trial""
]",81
Jp Morgan Chase And Co,3,V F Corp,J Jill Inc,"[
  ""Store Closure""
]",597
Goldman Sachs Group Inc,3,Nasdaq Inc,Atlantic Acquisition Corp,"[
  ""Breach""
]",1376
Goldman Sachs Group Inc,3,Fibrogen Inc,Halozyme Therapeutics Inc,"[
  ""Clinical Trial""
]",744
Goldman Sachs Group Inc,3,Jernigan Capital Inc,Momenta Pharmaceuticals Inc,"[
  ""Investigation""
]",45315
Goldman Sachs Group Inc,2,Intercontinental Exchange,Yrc Worldwide,"[
  ""Bankruptcy""
]",1
Morgan Stanley International Holdings Inc,3,Cronos Group Inc,Ginkgo Bioworks Inc,"[
  ""Litigation""
]",580
Goldman Sachs Group Inc,2,Intercontinental Exchange,Vaxart Inc,"[
  ""Fraud""
]",1
Alphabet Inc,3,Wandt Offshore Inc,Hartford Financial Services Group Inc/De,"[
  ""Removal""
]",792
Goldman Sachs Group Inc,3,Aimmune Therapeutics Inc,Akcea Therapeutics Inc,"[
  ""Breach""
]",89044
Goldman Sachs Group Inc,3,Ambac Financial Group Inc,Countrywide Plc,"[
  ""Breach Of Contract""
]",7920
Goldman Sachs Group Inc,2,Deutsche Bank,Wirecard Ag,"[
  ""Fraud""
]",1
Goldman Sachs Group Inc,3,Amgen Inc,Chemocentryx Inc,"[
  ""Clinical Trial""
]",15246
Goldman Sachs Group Inc,3,Woodward Inc,Blackstone / Gso Strategic Cre,"[
  ""Breach""
]",740
Goldman Sachs Group Inc,3,General Electric Company,Aspen Technology,"[
  ""Investigation""
]",1124
Coca-Cola Company,3,Ligand Pharmaceuticals Inc,Blueprint Medicines Corp,"[
  ""Clinical Trial""
]",75
Coca-Cola Company,3,Momenta Pharmaceuticals Inc,Argenx Se,"[
  ""Clinical Trial""
]",81
Coca-Cola Company,3,Contura Energy Inc,Cloud Peak Energy Inc,"[
  ""Bankruptcy""
]",4
Coca-Cola Company,3,Plug Power Inc,Procter And Gamble Co,"[
  ""Breach""
]",100694
Coca-Cola Company,3,Google,Wirecard Ag,"[
  ""Fraud""
]",5568
Coca-Cola Company,3,58com Inc,Bitauto Holdings Ltd,"[
  ""Breach""
]",17305
Coca-Cola Company,3,Simon Property Group Inc /De/,Jc Penney,"[
  ""Bankruptcy"",
  ""Bankruptcy""
]",6580
Coca-Cola Company,2,Hsbc Holdings Plc,Ing Groep Nv,"[
  ""Fraud""
]",1
Pepsico Inc,3,Geron Co Ltd,Imago Biosciences Inc,"[
  ""Investigation"",
  ""Clinical Trial""
]",21
Pepsico Inc,3,Godaddy Inc,Zurich Insurance Co Ltd,"[
  ""Litigation"",
  ""Litigation"",
  ""Litigation""
]",970
Pepsico Inc,3,Tracon Pharmaceuticals Inc,Nci Inc,"[
  ""Clinical Trial""
]",572
Pepsico Inc,3,Landmark Infrastructure Partners Lp,Landmark Bancorp Pa,"[
  ""Breach""
]",5486
Pepsico Inc,3,Era Group Inc,Prestige Consumer Healthcare Inc,"[
  ""Removal""
]",24
Microsoft Corp,2,Intercontinental Exchange,Granite Construction Inc,"[
  ""Investigation""
]",1
Microsoft Corp,3,Hewlett Packard Enterprise Comp,Cisco Systems Inc,"[
  ""Breach Of Contract""
]",4135424
Pepsico Inc,3,Rimini Street Inc,Oracle Corp,"[
  ""Litigation""
]",322488
Alphabet Inc,3,Amtrust Financial Services Inc,Ally Financial,"[
  ""Fraud""
]",112455
Alphabet Inc,2,Nasdaq Inc,Townsquare Media Inc,"[
  ""Investigation""
]",1
Pepsico Inc,2,Intercontinental Exchange,Culp Inc,"[
  ""Disruption""
]",1
Alphabet Inc,3,Avangrid Inc,Superior Offshore International Inc,"[
  ""Investigation""
]",184
Coca-Cola Company,3,Tripadvisor Inc,Luther Burbank Corporation,"[
  ""Breach""
]",330
Coca-Cola Company,3,Nasdaq Inc,Longfin Corp,"[
  ""Accounting Fraud""
]",520
Microsoft Corp,3,Hewlett Packard Enterprise Comp,Commonwealth Bank Of Australia,"[
  ""Investigation""
]",38456
Coca-Cola Company,3,Mueller Industries Inc,Haynes International Inc,"[
  ""Litigation""
]",972
Microsoft Corp,2,Intercontinental Exchange,Mohawk Industries Inc,"[
  ""Investigation""
]",1
Microsoft Corp,2,Apple Inc,Gt Advanced Technologies Inc,"[
  ""Bankruptcy""
]",1
Microsoft Corp,3,Aegon Nv,Sun Life Financial Inc,"[
  ""Breach""
]",107082
Coca-Cola Company,3,Ryanair Hldgs Plc,Easyjet Plc,"[
  ""Investigation""
]",3072
Microsoft Corp,3,Hms Holdings Corp,Phase Forward Inc,"[
  ""Removal""
]",1086
Microsoft Corp,3,Invesco Ltd,Transenterix Inc,"[
  ""Research""
]",1026
Pepsico Inc,3,Opko Health Inc,Tesaro Inc,"[
  ""Bankruptcy""
]",2796
Alphabet Inc,3,Athersys Inc / New,Mesoblast Ltd,"[
  ""Clinical Trial""
]",203
Jp Morgan Chase And Co,3,Global Blood Therapeutics Inc,Bellicum Pharmaceuticals Inc,"[
  ""Clinical Trial""
]",16
Jp Morgan Chase And Co,2,Intercontinental Exchange,Braskem Sa,"[
  ""Investigation""
]",1
Jp Morgan Chase And Co,2,Thomson Reuters Corp,Netflix Inc,"[
  ""Tax Evasion""
]",1
Goldman Sachs Group Inc,3,Nasdaq Inc,Radware Ltd,"[
  ""Ddos Attack""
]",3675
Goldman Sachs Group Inc,3,Aduro Biotech,Evotec Ag Ord,"[
  ""Clinical Trial""
]",600
Goldman Sachs Group Inc,3,Natural Gas Services Group Inc,Legacy Reserves Inc,"[
  ""Bankruptcy"",
  ""Bankruptcy""
]",40
Morgan Stanley International Holdings Inc,3,Google,Quantum Computing Inc,"[
  ""Investigation""
]",100
Goldman Sachs Group Inc,3,Iovance Biotherapeutics Inc,Lonza Group Ag,"[
  ""Clinical Trial""
]",480
Morgan Stanley International Holdings Inc,3,Denbury Resources Inc,Rosehill Resources Inc,"[
  ""Bankruptcy""
]",208
Microsoft Corp,3,Jc Penney,Simon Property Group Inc /De/,"[
  ""Bankruptcy""
]",32742
Microsoft Corp,3,Nike Inc,Under Armour,"[
  ""Investigation""
]",59683
Alphabet Inc,3,Oasis Petroleum Inc,Crown Castle International Corp,"[
  ""Litigation""
]",107485
Alphabet Inc,2,Google,Naspers Ltd,"[
  ""Legal Dispute""
]",1
Alphabet Inc,3,Apple Inc,Boston Properties,"[
  ""Investigation""
]",6272
Jp Morgan Chase And Co,3,Horizon Pharma Plc,Aralez Pharmaceuticals Inc,"[
  ""Litigation""
]",671
Jp Morgan Chase And Co,3,Moodys Corp /De/,Gnc Holdings Inc,"[
  ""Store Closure""
]",118560
Jp Morgan Chase And Co,3,Vanda Pharmaceuticals Inc,Lilly Eli And Co,"[
  ""Breach""
]",1584
Jp Morgan Chase And Co,3,Entergy Corp,Entergy Arkansas Inc,"[
  ""Investigation"",
  ""Investigation"",
  ""Shutdown""
]",40920
Jp Morgan Chase And Co,3,Moodys Corp /De/,Allegiant Travel Co,"[
  ""Downgrade""
]",1018
Morgan Stanley International Holdings Inc,3,Intercontinental Exchange,Canntrust Holdings Inc,"[
  ""Investigation""
]",960
Morgan Stanley International Holdings Inc,3,Nasdaq Inc,Skandinaviska Enskil,"[
  ""Removal""
]",5760
Jp Morgan Chase And Co,3,Charter Communications Inc,America Movil Sab De Cv,"[
  ""Investigation""
]",1696
Jp Morgan Chase And Co,3,Nasdaq Inc,Adaptimmune Therapeutics Plc,"[
  ""Investigation""
]",1422
Jp Morgan Chase And Co,3,Georgia Power Co,Southern Company,"[
  ""Regulatory Investigation""
]",1111627
Goldman Sachs Group Inc,3,Sony Corp,Electronic Arts Inc,"[
  ""Breach""
]",3952
Goldman Sachs Group Inc,3,Microsoft Corp,Quantum Computing Inc,"[
  ""Investigation""
]",192
Goldman Sachs Group Inc,3,Public Service Enterprise Group Inc,Darwin Professional Underwriters Inc,"[
  ""Litigation""
]",81
Goldman Sachs Group Inc,2,Intercontinental Exchange,Goldman Sachs Bdc Inc,"[
  ""Breach""
]",1
Morgan Stanley International Holdings Inc,2,Intercontinental Exchange,Taiwan Semiconductor Manufacturing,"[
  ""Dispute""
]",1
Goldman Sachs Group Inc,3,Medicines Co,Pfizer Inc,"[
  ""Litigation""
]",9432414
Morgan Stanley International Holdings Inc,3,Live Nation Entertainment,Blucora Inc,"[
  ""Investigation""
]",5328
Alphabet Inc,3,Scotts Miracle-Gro Co,Aerogrow International Inc,"[
  ""Breach""
]",150
Goldman Sachs Group Inc,3,Icahn Enterprises Lp,Marsh And Mclennan Companies Inc,"[
  ""Breach Of Contract""
]",75576
Goldman Sachs Group Inc,3,Express Scripts Holding Co,Medco Health Solutions Inc,"[
  ""Litigation""
]",445
Coca-Cola Company,3,Abbvie Inc,Biogen Inc,"[
  ""Clinical Trial""
]",132
Coca-Cola Company,3,Noble Corp Plc,Anadarko Petroleum Corp,"[
  ""Breach Of Contract""
]",33460
Coca-Cola Company,3,Agios Pharmaceuticals Inc,Ptc Therapeutics,"[
  ""Clinical Trial""
]",16084
Pepsico Inc,3,Plains All American Pipeline Lp,Cim Commercial Trust Corp,"[
  ""Investigation""
]",1067950
Coca-Cola Company,3,Northwest Biotherapeutics Inc,Platform Specialty Products Corp,"[
  ""Clinical Trial""
]",207500
Coca-Cola Company,3,Nasdaq Inc,Telenav Inc,"[
  ""Breach""
]",2247
Pepsico Inc,3,International Business Machines Corp,Cls Holdings Usa Inc,"[
  ""Sanctions""
]",3434
Pepsico Inc,3,Teradyne International Holdings Bv,Plexus Cp,"[
  ""Disruption""
]",141
Pepsico Inc,3,Mimedx Group Inc,Osiris Therapeutics Inc,"[
  ""Breach Of Contract"",
  ""Breach Of Contract"",
  ""Breach Of Contract""
]",108
Pepsico Inc,2,Intercontinental Exchange,Universal Technical Institute Inc,"[
  ""Disruption""
]",1
Microsoft Corp,2,Apple Inc,Qualcomm Inc/De,"[
  ""Breach""
]",1
Alphabet Inc,3,Xcel Brands,Candj Energy Services Inc,"[
  ""Breach""
]",112
Pepsico Inc,3,Nasdaq Inc,Universal Logistics Holdings Inc,"[
  ""Shutdown""
]",105
Alphabet Inc,2,Intercontinental Exchange,Tupperware Brands Corp,"[
  ""Investigation""
]",1
Alphabet Inc,2,Nasdaq Inc,Zagg Inc,"[
  ""Disruption""
]",1
Alphabet Inc,3,Caredx Inc,Natera Inc,"[
  ""Litigation""
]",11001
Alphabet Inc,2,Google,Handr Block Inc,"[
  ""Investigation""
]",1
Alphabet Inc,3,Willis Towers Watson Plc,Financial Institutions Inc,"[
  ""Bankruptcy""
]",43
Alphabet Inc,3,Cree Inc,Blackbaud Inc,"[
  ""Breach""
]",5004
Pepsico Inc,3,Energy Fuels Inc,Abraxas Petroleum Corp,"[
  ""Removal""
]",1140
Pepsico Inc,3,Credit Suisse Ag,Nymox Pharmaceutical Corp,"[
  ""Research""
]",1532
Alphabet Inc,3,Aci Worldwide Inc,Online Resources Corp,"[
  ""Litigation""
]",104
Pepsico Inc,3,General Dynamics Corp,Sra International Inc,"[
  ""Hacking""
]",126
Pepsico Inc,2,Bank Of America Corp,Countrywide Financial Corp,"[
  ""Fraud""
]",1
Coca-Cola Company,3,Deluxe Corp,Lifelock Inc,"[
  ""Fraud""
]",8923
Coca-Cola Company,3,Aveva Group Plc,Aspen Technology,"[
  ""Investigation""
]",976
Coca-Cola Company,3,Therapeuticsmd Inc,Catalent Inc,"[
  ""Clinical Trial""
]",47452
Coca-Cola Company,3,Post Holdings Inc,Jandj Snack Foods Corp,"[
  ""Removal""
]",69
Pepsico Inc,3,American Airlines Group Inc,Alaska Air Group,"[
  ""Investigation""
]",50400
Pepsico Inc,3,Galectin Therapeutics Inc,Vystar Corp,"[
  ""Clinical Trial""
]",18
Microsoft Corp,2,Apple Inc,Realty Income Corp,"[
  ""Disruption""
]",1
Microsoft Corp,3,Biolife Solutions Inc,Cellular Biomedicine Group Inc,"[
  ""Clinical Trial""
]",16
Microsoft Corp,3,Astrazeneca Plc,Biohaven Pharmaceutical Holding Company Ltd,"[
  ""Clinical Trial""
]",5190
Microsoft Corp,3,Mgm Resorts,Marriott International Inc /Md/,"[
  ""Data Breach""
]",140584
Microsoft Corp,3,Symantec Corp,Trend Micro Inc [Tok,"[
  ""Fraud""
]",9505
Microsoft Corp,3,Ionis Pharmaceuticals Inc,Wave Life Sciences Ltd,"[
  ""Clinical Trial""
]",207
Microsoft Corp,3,Regulus Therapeutics,Hera Ltd,"[
  ""Clinical Trial""
]",107700
Alphabet Inc,3,Moodys Corp /De/,Diamond Resorts Corp,"[
  ""Disruption""
]",572
Alphabet Inc,3,Chevron Corp,Ypf Sociedad Anonima,"[
  ""Litigation""
]",7270
Alphabet Inc,2,Nasdaq Inc,Vbi Vaccines Inc,"[
  ""Clinical Trial""
]",1
Alphabet Inc,3,Tobira Therapeutics Inc,Galmed Pharmaceuticals Ltd,"[
  ""Clinical Trial""
]",840
Alphabet Inc,3,Cancer Genetics Inc,Private Bancorp Of America Inc,"[
  ""Breach""
]",2003
Jp Morgan Chase And Co,3,Andina Acq Cp Ord Sh,Shopify Inc,"[
  ""Disruption""
]",6412
Pepsico Inc,3,Broadcom Ltd,Ii-Vi Inc,"[
  ""Litigation""
]",1206
Pepsico Inc,2,Royal Bank Of Canada,Cytosorbents Corp,"[
  ""Research""
]",1
Jp Morgan Chase And Co,3,Turning Point Brands,Standard Diversified Opportunities Inc,"[
  ""Reorganization""
]",84
Pepsico Inc,2,Quaker Chemical Corp,Avenue Income Credit Strategies,"[
  ""Investigation""
]",1296
Jp Morgan Chase And Co,3,Crossamerica Partners Lp,Alimentation Couche-Tard Inc,"[
  ""Fraud""
]",234
Jp Morgan Chase And Co,3,Apollo Global Management Llc,Wsfs Financial Corp,"[
  ""Breach""
]",5216
Morgan Stanley International Holdings Inc,3,Pultegroup Inc/Mi/,Centex Llc,"[
  ""Breach"",
  ""Breach""
]",129
Jp Morgan Chase And Co,3,Wayfair Inc,Stage Stores Inc,"[
  ""Bankruptcy""
]",764
Alphabet Inc,3,Royal Bank Of Canada,Aurinia Pharm Ord,"[
  ""Research""
]",3768
Microsoft Corp,3,News Corp,Allianzgi International And Premium Strategy Fund,"[
  ""Litigation""
]",18559
Microsoft Corp,3,Dish Network Corp,New Senior Investment Group Inc,"[
  ""Breach""
]",1206
Microsoft Corp,3,Chemours Co,Dowdupont Inc,"[
  ""Litigation""
]",683130
Alphabet Inc,2,Nasdaq Inc,Allakos Inc,"[
  ""Breach""
]",1
Jp Morgan Chase And Co,3,Abbvie Inc,Biogen Inc,"[
  ""Clinical Trial""
]",132
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Federal Home Loan Mortgage Corp,"[
  ""Litigation""
]",10608
Jp Morgan Chase And Co,3,Mbia Inc,Flagstar Bancorp Inc,"[
  ""Breach Of Contract""
]",4834
Morgan Stanley International Holdings Inc,2,Intercontinental Exchange,Gci Liberty Inc,"[
  ""Breach""
]",1
Alphabet Inc,3,Sony Corp,Samsung Electronics Gmbh,"[
  ""Sanctions""
]",35870
Microsoft Corp,3,Hologic Inc,Senorx Inc,"[
  ""Litigation""
]",48
Alphabet Inc,3,Marcus Corp,Molecular Templates Inc,"[
  ""Breach""
]",162
Jp Morgan Chase And Co,2,Intercontinental Exchange,Chaparral Energy Inc,"[
  ""Reorganization""
]",1
Jp Morgan Chase And Co,2,Intercontinental Exchange,National Fuel Gas Co,"[
  ""Investigation""
]",1
Jp Morgan Chase And Co,3,Babcock And Wilcox Enterprises I,Commerce Bancshares Inc /Mo/,"[
  ""Fraud""
]",1400
Jp Morgan Chase And Co,2,Intercontinental Exchange,Gci Liberty Inc,"[
  ""Breach""
]",1
Goldman Sachs Group Inc,3,American Airlines Group Inc,Intelsat Sa,"[
  ""Bankruptcy""
]",92724
Goldman Sachs Group Inc,3,Pfenex Inc,Jv Group Inc,"[
  ""Breach""
]",2611
Jp Morgan Chase And Co,3,Sysco Corp,Compass Group Plc,"[
  ""Disruption""
]",320
Jp Morgan Chase And Co,3,Twitter Inc,Graham Corp,"[
  ""Sanctions""
]",328
Jp Morgan Chase And Co,2,Intercontinental Exchange,Nokia Corp,"[
  ""Bankruptcy""
]",1
Morgan Stanley International Holdings Inc,2,Intercontinental Exchange,Amc Entertainment Inc,"[
  ""Bankruptcy""
]",1
Jp Morgan Chase And Co,3,Tesla Inc,Lucid Inc,"[
  ""Setback""
]",304
Goldman Sachs Group Inc,3,Booz Allen Hamilton Holding Corp,Echo Global Logistics Inc,"[
  ""Investigation""
]",2301
Goldman Sachs Group Inc,2,Intercontinental Exchange,Seadrill Ltd,"[
  ""Bankruptcy""
]",1
Goldman Sachs Group Inc,3,Tallgrass Energy Gp Lp,Cannabis Capital Corp,"[
  ""Breach Of Contract""
]",123
Morgan Stanley International Holdings Inc,3,Rexahn Pharmaceuticals,Eisai Co Ltd,"[
  ""Clinical Trial""
]",2000
Pepsico Inc,3,Amyris Inc,Givaudan Sa,"[
  ""Research""
]",64
Coca-Cola Company,3,Momenta Pharmaceuticals Inc,Baxter International Inc,"[
  ""Clinical Trial""
]",2210472
Goldman Sachs Group Inc,2,Venator Materials Plc,Sika Ag,"[
  ""Removal""
]",24
Pepsico Inc,2,Nasdaq Inc,Spring Bank Pharmaceuticals Inc,"[
  ""Breach""
]",1
Coca-Cola Company,3,Barclays Plc,Ironwood Pharmaceuticals Inc,"[
  ""Research""
]",4125
Coca-Cola Company,3,Mbia Inc,Societe Generale,"[
  ""Litigation""
]",158850
Coca-Cola Company,3,V F Corp,J Jill Inc,"[
  ""Store Closure""
]",633
Coca-Cola Company,3,Rocket Pharmaceuticals Inc,Aerie Pharmaceuticals Inc,"[
  ""Clinical Trial""
]",435
Coca-Cola Company,2,Intercontinental Exchange,Goldman Sachs Bdc Inc,"[
  ""Breach""
]",1
Coca-Cola Company,3,Abbvie Inc,Neurocrine Biosciences Inc,"[
  ""Clinical Trial""
]",450
Coca-Cola Company,2,Intercontinental Exchange,Chaparral Energy Inc,"[
  ""Reorganization""
]",1
Pepsico Inc,3,Corcept Therapeutics Inc,Strongbridge Biopharma Plc,"[
  ""Clinical Trial"",
  ""Clinical Trial""
]",188
Pepsico Inc,3,Cardinal Health Inc,Virtusa Corp,"[
  ""Disruption""
]",5412
Pepsico Inc,3,Liberty Broadband Corp,Gci Liberty Inc,"[
  ""Investigation""
]",32848
Pepsico Inc,3,Installed Building Products Inc,M I Homes Inc,"[
  ""Reorganization""
]",278
Alphabet Inc,3,Nike Inc,Thyssenkrupp Ag,"[
  ""Bankruptcy""
]",180
Pepsico Inc,2,United States Steel Corp,Alon Usa Energy Inc,"[
  ""Litigation""
]",360
Microsoft Corp,1,Microsoft Corp,Alon Usa Energy Inc,"[
  ""Investigation"",
  ""Investigation""
]",225
Alphabet Inc,3,Google,Morphosys Ag,"[
  ""Research""
]",4110
Alphabet Inc,2,Intercontinental Exchange,Braemar Hotels And Resorts Inc,"[
  ""Breach""
]",1
Microsoft Corp,3,Novo Nordisk A/S,Ritter Pharmaceuticals Inc,"[
  ""Clinical Trial""
]",5502
Pepsico Inc,3,Moodys Corp /De/,Renault Sa,"[
  ""Downgrade""
]",263968
Pepsico Inc,3,Monster Beverage Corp,Innovate Biopharmaceuticals Inc,"[
  ""Litigation""
]",3525
Alphabet Inc,2,Intercontinental Exchange,Intralinks Holdings Inc,"[
  ""Breach"",
  ""Breach""
]",24
Alphabet Inc,3,Zogenix Inc,Gw Pharmaceuticals,"[
  ""Clinical Trial""
]",276
Coca-Cola Company,3,Macquarie Infrastructure Corp,Aladdin International Inc,"[
  ""Bankruptcy""
]",136
Microsoft Corp,2,Nasdaq Inc,Ehealth Inc,"[
  ""Breach""
]",1
Microsoft Corp,2,Nasdaq Inc,Grand Canyon Education Inc,"[
  ""Investigation""
]",1
Microsoft Corp,2,Nasdaq Inc,Townsquare Media Inc,"[
  ""Investigation""
]",1
Microsoft Corp,3,Inovio Pharmaceuticals Inc,Itt Industries Limited,"[
  ""Clinical Trial""
]",5188
Microsoft Corp,3,Vmware Inc,Dell Inc,"[
  ""Disruption""
]",23335048
Pepsico Inc,3,Viasat Inc,Loral Space And Communications Inc,"[
  ""Breach Of Contract""
]",44
Coca-Cola Company,3,Moodys Corp /De/,Gnc Holdings Inc,"[
  ""Store Closure""
]",130564
Coca-Cola Company,2,Intercontinental Exchange,Sunworks Inc,"[
  ""Breach""
]",1
Pepsico Inc,3,Moodys Corp /De/,Santander Consumer Usa Holdings,"[
  ""Fraud""
]",47600
Pepsico Inc,3,Lifepoint Health,Lifepoint Inc,"[
  ""Litigation""
]",188
Microsoft Corp,2,Netflix Inc,The Walt Disney Co,"[
  ""Breach""
]",1
Microsoft Corp,3,Thomson Reuters Corp,China Communications Construction Co Ltd,"[
  ""Sanctions""
]",7296
Alphabet Inc,2,Nasdaq Inc,Principia Biopharma Inc,"[
  ""Breach""
]",1
Coca-Cola Company,3,New York And Company,L Brands Inc,"[
  ""Disruption""
]",4545
Goldman Sachs Group Inc,3,Wsfs Financial Corp,Two Harbors Investments Corp,"[
  ""Bankruptcy""
]",8580
Goldman Sachs Group Inc,3,Jefferies Financial Group Inc,Lam Research Corp,"[
  ""Sanctions""
]",6432
Goldman Sachs Group Inc,3,Williams Companies Inc,Wpx Energy Inc,"[
  ""Manipulation""
]",12844
Morgan Stanley International Holdings Inc,3,Gilead Sciences Inc,Hookipa Pharma Inc,"[
  ""Clinical Trial""
]",234
Jp Morgan Chase And Co,3,Intercontinental Exchange,Build A Bear Workshop Inc,"[
  ""Store Closure""
]",1554
Alphabet Inc,2,Google,F5 Networks Inc,"[
  ""Fraud""
]",1
Microsoft Corp,3,Toyota Motor Corp,Volkswagen Ag,"[
  ""Manipulation""
]",3608
Microsoft Corp,3,Airbus,Republic Airways Holdings Inc,"[
  ""Bankruptcy""
]",678
Microsoft Corp,3,Hms Holdings Corp,Affiliated Managers Group,"[
  ""Breach Of Contract""
]",6608
Jp Morgan Chase And Co,3,Intercontinental Exchange,Nacco Industries Inc,"[
  ""Investigation""
]",1483
Jp Morgan Chase And Co,3,Mvc Capital Inc,Bexil Cp,"[
  ""Litigation""
]",3
Alphabet Inc,3,Rosetta Stone Inc,Cambium Learning Group Inc,"[
  ""Breach""
]",2225
Jp Morgan Chase And Co,3,Iqvia Holdings Inc  1,Veeva Systems Inc,"[
  ""Sanctions"",
  ""Litigation""
]",5340
Alphabet Inc,3,Momenta Pharmaceuticals Inc,Amphastar Pharmaceuticals Inc,"[
  ""Litigation""
]",522
Alphabet Inc,3,Majesco Ltd,State Bank Financial Corp,"[
  ""Dispute""
]",69
Alphabet Inc,3,Hp Inc,Eca Marcellus Trust I,"[
  ""Sanctions""
]",3252
Jp Morgan Chase And Co,3,Athersys Inc / New,Mesoblast Ltd,"[
  ""Clinical Trial"",
  ""Clinical Trial""
]",105
Alphabet Inc,3,Credit Suisse Ag,Credit Suisse Group,"[
  ""Fraud""
]",188110
Morgan Stanley International Holdings Inc,3,On Deck Capital Inc,Otelco Inc,"[
  ""Breach""
]",4033
Jp Morgan Chase And Co,3,Cigna Corp,Express Scripts Holding Co,"[
  ""Breach Of Contract""
]",25956
Jp Morgan Chase And Co,3,Weatherford International Plc,Gamco Investors Inc Et Al,"[
  ""Litigation""
]",514
Morgan Stanley International Holdings Inc,3,Novavax Inc,Orbital Atk Inc,"[
  ""Clinical Trial""
]",10
Goldman Sachs Group Inc,3,Epr Properties,W P Carey Inc,"[
  ""Bankruptcy""
]",8340
Jp Morgan Chase And Co,2,Thomson Reuters Corp,Adidas Ag,"[
  ""Investigation""
]",1
Jp Morgan Chase And Co,2,Intercontinental Exchange,Dime Community Bancshares Inc,"[
  ""Breach""
]",1
Goldman Sachs Group Inc,3,Tesco Plc,Eastman Kodak Co,"[
  ""Bankruptcy Protection""
]",101952
Goldman Sachs Group Inc,3,American Financial Group Inc,Global-Tech Advanced Innovations Inc,"[
  ""Breach""
]",448
Goldman Sachs Group Inc,3,Alnylam Pharmaceuticals Inc,Eidos Therapeutics Inc,"[
  ""Clinical Trial""
]",1272
Goldman Sachs Group Inc,3,Wabash National Corp,Supreme Pharmaceuticals,"[
  ""Breach""
]",3215
Goldman Sachs Group Inc,3,Deutsche Bank,Haier Electronics Group Co Ltd,"[
  ""Research""
]",3612
Goldman Sachs Group Inc,2,Bank Of New York Mellon Corp,Public Storage,"[
  ""Litigation""
]",27360
Goldman Sachs Group Inc,3,Mandt Bank Corp,Banco Santander Sa,"[
  ""Litigation""
]",8008
Goldman Sachs Group Inc,3,Taubman Centers,Westfield Group,"[
  ""Breach""
]",1568
Morgan Stanley International Holdings Inc,3,Apple Inc,Gt Advanced Technologies Inc,"[
  ""Bankruptcy""
]",840
Jp Morgan Chase And Co,3,Toshiba Corp,Murata Manufacturing,"[
  ""Investigation""
]",474
Alphabet Inc,3,Madison Square Garden Co,Bce Inc,"[
  ""Litigation""
]",110500
Goldman Sachs Group Inc,2,Intercontinental Exchange,Lilis Energy Inc,"[
  ""Bankruptcy""
]",1
Jp Morgan Chase And Co,3,Nasdaq Inc,Gossamer Bio Inc,"[
  ""Investigation""
]",963
Morgan Stanley International Holdings Inc,3,Ngl Energy Partners Lp,Extraction Oil And Gas Inc,"[
  ""Bankruptcy""
]",196
Coca-Cola Company,3,Quanta Services Inc,Tns Inc,"[
  ""Breach Of Contract""
]",390
Coca-Cola Company,3,Kimco Realty Corp,Cedar Realty Trust Inc,"[
  ""Bankruptcy""
]",176
Coca-Cola Company,3,Zymeworks Inc,Gea Technologies Ltd,"[
  ""Clinical Trial""
]",26
Coca-Cola Company,3,Box Inc,D Box Technologies,"[
  ""Breach""
]",4566
Coca-Cola Company,2,Intercontinental Exchange,Volkswagen Ag,"[
  ""Manipulation""
]",1
Coca-Cola Company,2,Monster Beverage Corp,Nielsen Holdings Plc,"[
  ""Litigation""
]",350
Coca-Cola Company,3,Energy Fuels Inc,Vista Gold Corp,"[
  ""Removal""
]",900
Coca-Cola Company,2,Twitter Inc,Mgm Resorts,"[
  ""Data Breach""
]",1
